Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College,Merge Name,Team,Year
OG,Steven Gonzalez,,67,#112 OG,"6'3""",332,23,5/10/97,0,2020,,,,S.Gonzalez,Arizona Cardinals,2020
OG,Andrew Dickinson,,67,#112 OG,"6'3""",300,,,0,2020,,,,A.Dickinson,Arizona Cardinals,2020
OT,Marcus Gilbert,76,79,#29 OT,"6'6""",330,32,2/14/88,9,2011,2,63,Florida,M.Gilbert,Arizona Cardinals,2020
OT,Joshua Miles,66,75,#59 OT,"6'5""",314,24,1/3/96,2,2019,7,248,Morgan State,J.Miles,Arizona Cardinals,2020
OT,Justin Pugh,67,73,#76 OT,"6'4""",307,29,8/14/90,8,2013,1,19,Syracuse,J.Pugh,Arizona Cardinals,2020
OT,DJ Humphries,74,71,#109 OT,"6'5""",307,26,12/27/93,6,2015,1,24,Florida,D.Humphries,Arizona Cardinals,2020
OT,Justin Murray,71,68,#177 OT,"6'5""",304,27,4/18/93,3,2016,,,Cincinnati,J.Murray,Arizona Cardinals,2020
OT,Brett Toth,78,68,#177 OT,"6'6""",291,23,8/31/96,2,2019,,,Army,B.Toth,Arizona Cardinals,2020
OT,Josh Jones,79,67,#226 OT,"6'5""",319,23,6/20/97,0,2020,3,72,Houston,J.Jones,Arizona Cardinals,2020
OT,Jake Benzinger,,67,#226 OT,"6'8""",295,23,1/29/97,0,2020,,,Wake Forest,J.Benzinger,Arizona Cardinals,2020
OT,Jackson Dennis,,67,#226 OT,"6'5""",310,,,0,2020,,,,J.Dennis,Arizona Cardinals,2020
NT,Jordan Phillips,97,74,#20 NT,"6'5""",329,27,9/20/92,6,2015,2,52,Oklahoma,J.Phillips,Arizona Cardinals,2020
DT,Corey Peters,98,76,#46 DT,"6'3""",300,32,6/7/88,11,2010,3,83,Kentucky,C.Peters,Arizona Cardinals,2020
DT,Michael Dogbe,91,76,#46 DT,"6'3""",286,24,5/4/96,2,2019,7,249,Temple,M.Dogbe,Arizona Cardinals,2020
DT,Miles Brown,72,73,#95 DT,"6'1""",322,22,9/3/97,2,2019,,,Wofford,M.Brown,Arizona Cardinals,2020
DT,Trevon Coley,93,70,#150 DT,"6'1""",307,25,7/12/94,4,2016,,,Florida Atlantic,T.Coley,Arizona Cardinals,2020
DT,Adam Shuler,,67,#233 DT,"6'4""",275,,,0,2020,,,,A.Shuler,Arizona Cardinals,2020
DT,Leki Fotu,95,67,#233 DT,"6'5""",330,21,8/22/98,0,2020,4,114,Utah,L.Fotu,Arizona Cardinals,2020
DT,Rashard Lawrence II,92,67,#233 DT,"6'2""",308,21,9/26/98,0,2020,4,131,LSU,R.Lawrence,Arizona Cardinals,2020
DE,Chandler Jones,55,92,#5 DE,"6'5""",265,30,2/26/90,9,2012,1,21,Syracuse,C.Jones,Arizona Cardinals,2020
DE,Zach Allen,97,74,#98 DE,"6'4""",281,22,8/19/97,2,2019,3,65,Boston College,Z.Allen,Arizona Cardinals,2020
DE,Reggie Walker,,67,#271 DE,"6'2""",250,24,4/21/96,0,2020,,,Kansas State,R.Walker,Arizona Cardinals,2020
DE,Kylie Fitts,49,67,#271 DE,"6'4""",263,25,10/10/94,2,2018,6,181,Utah,K.Fitts,Arizona Cardinals,2020
DE,Jonathan Bullard,90,67,#271 DE,"6'3""",285,26,10/21/93,5,2016,3,72,Florida,J.Bullard,Arizona Cardinals,2020
LB,Haason Reddick,43,78,#72 LB,"6'1""",237,25,9/21/94,4,2017,1,13,Temple,H.Reddick,Arizona Cardinals,2020
LB,Devon Kennard,42,78,#72 LB,"6'3""",249,28,6/23/91,7,2014,5,174,USC,D.Kennard,Arizona Cardinals,2020
LB,Jordan Hicks,58,77,#86 LB,"6'1""",238,28,10/13/91,6,2015,3,84,Texas,J.Hicks,Arizona Cardinals,2020
LB,De'Vondre Campbell,59,75,#138 LB,"6'4""",232,26,6/30/93,5,2016,4,115,Minnesota,D.Campbell,Arizona Cardinals,2020
LB,Evan Weaver,50,67,#478 LB,"6'2""",237,21,8/10/98,0,2020,6,202,California,E.Weaver,Arizona Cardinals,2020
LB,Dennis Gardeck,42,67,#478 LB,"6'0""",242,25,8/8/94,3,2018,,,Sioux Falls,D.Gardeck,Arizona Cardinals,2020
LB,Vontarrius Dora,54,67,#478 LB,"6'4""",243,27,9/6/92,1,2016,,,Louisiana Tech,V.Dora,Arizona Cardinals,2020
LB,Tanner Vallejo,51,67,#478 LB,"6'1""",225,25,12/15/94,4,2017,6,195,Boise State,T.Vallejo,Arizona Cardinals,2020
LB,Isaiah Simmons,48,67,#478 LB,"6'4""",238,21,7/25/98,0,2020,1,8,Clemson,I.Simmons,Arizona Cardinals,2020
CB,Patrick Peterson,21,89,#8 CB,"6'0""",219,29,7/10/90,10,2011,1,5,LSU,P.Peterson,Arizona Cardinals,2020
CB,Byron Murphy,33,78,#63 CB,"5'11""",190,22,1/17/98,2,2019,2,33,Washington,B.Murphy,Arizona Cardinals,2020
CB,Charles Washington,28,75,#115 CB,"5'10""",185,27,3/9/93,4,2016,,,Fresno State,C.Washington,Arizona Cardinals,2020
CB,Robert Alford,23,74,#139 CB,"5'10""",188,31,10/31/88,8,2013,2,60,Southeastern Louisiana,R.Alford,Arizona Cardinals,2020
CB,Kevin Peterson,27,69,#241 CB,"5'10""",181,26,3/21/94,4,2016,,,Oklahoma State,K.Peterson,Arizona Cardinals,2020
CB,Chris Jones,25,68,#302 CB,"6'0""",200,24,8/12/95,2,2018,,,Nebraska,C.Jones,Arizona Cardinals,2020
CB,Sojourn Shelton,36,68,#302 CB,"5'9""",174,25,12/24/94,1,2017,,,Wisconsin,S.Shelton,Arizona Cardinals,2020
CB,Jace Whittaker,,67,#386 CB,"5'10""",189,,,0,2020,,,Arizona,J.Whittaker,Arizona Cardinals,2020
CB,Zane Lewis,,67,#386 CB,6'1'',190,,,0,2020,,,Air Force,Z.Lewis,Arizona Cardinals,2020
CB,Bejour Wilson,,67,#386 CB,"5'10""",172,,,0,2020,,,Liberty,B.Wilson,Arizona Cardinals,2020
CB,Duke Thomas,20,67,#386 CB,"5'10""",177,26,5/20/94,2,2016,,,Texas,D.Thomas,Arizona Cardinals,2020
CB,Jalen Davis,30,67,#386 CB,"5'9""",181,24,2/1/96,1,2018,,,Utah State,J.Davis,Arizona Cardinals,2020
SS,Reggie Floyd,,67,#141 SS,"5'11""",213,,,0,2020,,,Virginia Tech,R.Floyd,Arizona Cardinals,2020
SS,Zeke Turner,47,67,#141 SS,"6'2""",212,24,6/8/96,3,2018,,,Washington,Z.Turner,Arizona Cardinals,2020
SS,Chris Banjo,38,67,#141 SS,"5'10""",204,30,2/25/90,7,2013,,,SMU,C.Banjo,Arizona Cardinals,2020
FS,Budda Baker,32,81,#20 FS,"5'10""",195,24,1/9/96,4,2017,2,36,Washington,B.Baker,Arizona Cardinals,2020
FS,Deionte Thompson,35,77,#38 FS,"6'1""",195,23,2/10/97,2,2019,5,139,Alabama,D.Thompson,Arizona Cardinals,2020
FS,Jalen Thompson,34,68,#115 FS,"6'0""",195,21,7/17/98,2,2019,,,Washington State,J.Thompson,Arizona Cardinals,2020
P,Andy Lee,4,73,#37 P,"6'1""",180,37,8/10/82,17,2004,6,188,Pittsburgh,A.Lee,Arizona Cardinals,2020
P,Ryan Winslow,9,67,#65 P,"6'5""",217,26,4/29/94,1,2018,,,Pittsburgh,R.Winslow,Arizona Cardinals,2020
PK,Zane Gonzalez,5,73,#38 PK,"6'0""",202,25,5/6/95,4,2017,7,224,Arizona State,Z.Gonzalez,Arizona Cardinals,2020
QB,Kyler Murray,1,77,#27 QB,"5'10""",207,22,8/6/97,2,2019,1,1,Oklahoma,K.Murray,Arizona Cardinals,2019
QB,Drew Anderson,3,70,#62 QB,"6'4""",223,24,10/17/95,1,2019,,,Murray State,D.Anderson,Arizona Cardinals,2019
QB,Brett Hundley,7,67,#120 QB,"6'3""",226,27,6/14/93,6,2015,5,147,UCLA,B.Hundley,Arizona Cardinals,2019
RB,Kenyan Drake,41,82,#36 RB,"6'1""",210,26,1/25/94,5,2016,3,73,Alabama,K.Drake,Arizona Cardinals,2019
RB,Chase Edmonds,29,74,#128 RB,"5'9""",205,24,4/12/96,3,2018,4,134,Fordham,C.Edmonds,Arizona Cardinals,2019
RB,Eno Benjamin,26,67,#304 RB,"5'9""",207,21,4/12/99,0,2020,7,222,Arizona State,E.Benjamin,Arizona Cardinals,2019
WR,DeAndre Hopkins,10,96,#4 WR,"6'1""",214,28,6/5/92,7,2013,1,27,Clemson,D.Hopkins,Arizona Cardinals,2019
WR,Larry Fitzgerald,11,85,#34 WR,"6'3""",218,36,8/30/83,17,2004,1,3,Pittsburgh,L.Fitzgerald,Arizona Cardinals,2019
WR,Christian Kirk,13,76,#113 WR,"5'10""",201,23,11/17/96,3,2018,2,47,Texas A&M,C.Kirk,Arizona Cardinals,2019
WR,A.J. Richardson,83,74,#160 WR,"6'0""",212,25,6/1/95,1,2019,,,Boise State,A.Richardson,Arizona Cardinals,2019
WR,Johnnie Dixon,10,74,#160 WR,"5'10""",201,25,9/15/94,1,2019,,,Ohio State,J.Dixon,Arizona Cardinals,2019
WR,Andy Isabella,89,72,#229 WR,"5'9""",188,23,11/17/96,2,2019,2,62,Massachusetts,A.Isabella,Arizona Cardinals,2019
WR,Keesean Johnson,19,70,#285 WR,"6'1""",201,23,10/8/96,2,2019,6,174,Fresno State,K.Johnson,Arizona Cardinals,2019
WR,Hakeem Butler,17,68,#427 WR,"6'5""",227,24,5/15/96,2,2019,4,103,Iowa State,H.Butler,Arizona Cardinals,2019
WR,Trent Sherfield,16,68,#427 WR,"6'0""",200,24,2/25/96,3,2018,,,Vanderbilt,T.Sherfield,Arizona Cardinals,2019
WR,Jermiah Braswell,,67,#556 WR,"6'0""",210,,,0,2020,,,Youngstown State,J.Braswell,Arizona Cardinals,2019
WR,Shane Leatherbury,,67,#556 WR,"5'9""",181,,,0,2020,,,Towson,S.Leatherbury,Arizona Cardinals,2019
WR,JoJo Ward,,67,#556 WR,,175,,,0,2020,,,Hawaii,J.Ward,Arizona Cardinals,2019
WR,Rashad Medaris,,67,#556 WR,"5'10""",174,,,0,2020,,,Cincinnati,R.Medaris,Arizona Cardinals,2019
WR,Devin Phelps,,67,#556 WR,"6'1""",190,,,0,2020,,,Shepherd,D.Phelps,Arizona Cardinals,2019
WR,DJ Foster,37,67,#556 WR,"5'10""",193,26,11/21/93,5,2016,,,Arizona State,D.Foster,Arizona Cardinals,2019
TE,Maxx Williams,87,79,#35 TE,"6'4""",249,26,4/11/94,6,2015,2,55,Minnesota,M.Williams,Arizona Cardinals,2019
TE,Dan Arnold,82,71,#145 TE,"6'5""",225,25,3/14/95,4,2017,,,Wis.-Platteville,D.Arnold,Arizona Cardinals,2019
TE,Ryan Becker,,67,#282 TE,"6'4""",249,,,0,2020,,,,R.Becker,Arizona Cardinals,2019
TE,Parker Houston,,67,#282 TE,"6'2""",250,22,12/5/97,0,2020,,,San Diego State,P.Houston,Arizona Cardinals,2019
TE,Darrell Daniels,81,67,#282 TE,"6'3""",235,25,11/21/94,4,2017,,,Washington,D.Daniels,Arizona Cardinals,2019
C,Lamont Gaillard,65,75,#29 C,"6'3""",305,24,2/7/96,2,2019,6,179,Georgia,L.Gaillard,Arizona Cardinals,2019
C,Mason Cole,52,67,#91 C,"6'4""",307,24,3/27/96,3,2018,3,97,Michigan,M.Cole,Arizona Cardinals,2019
C,Max Garcia,73,67,#91 C,"6'4""",309,28,11/8/91,6,2015,4,133,Florida,M.Garcia,Arizona Cardinals,2019
OG,JR Sweezy,64,74,#49 OG,"6'5""",295,31,4/7/89,9,2012,7,225,North Carolina State,J.Sweezy,Arizona Cardinals,2019
OG,Sam Jones,70,69,#77 OG,"6'5""",305,24,2/20/96,2,2018,6,183,Arizona State,S.Jones,Arizona Cardinals,2019
OG,Steven Gonzalez,,67,#112 OG,"6'3""",332,23,5/10/97,0,2020,,,,S.Gonzalez,Arizona Cardinals,2019
OG,Andrew Dickinson,,67,#112 OG,"6'3""",300,,,0,2020,,,,A.Dickinson,Arizona Cardinals,2019
OT,Marcus Gilbert,76,79,#29 OT,"6'6""",330,32,2/14/88,9,2011,2,63,Florida,M.Gilbert,Arizona Cardinals,2019
OT,Joshua Miles,66,75,#59 OT,"6'5""",314,24,1/3/96,2,2019,7,248,Morgan State,J.Miles,Arizona Cardinals,2019
OT,Justin Pugh,67,73,#76 OT,"6'4""",307,29,8/14/90,8,2013,1,19,Syracuse,J.Pugh,Arizona Cardinals,2019
OT,DJ Humphries,74,71,#109 OT,"6'5""",307,26,12/27/93,6,2015,1,24,Florida,D.Humphries,Arizona Cardinals,2019
OT,Justin Murray,71,68,#177 OT,"6'5""",304,27,4/18/93,3,2016,,,Cincinnati,J.Murray,Arizona Cardinals,2019
OT,Brett Toth,78,68,#177 OT,"6'6""",291,23,8/31/96,2,2019,,,Army,B.Toth,Arizona Cardinals,2019
OT,Josh Jones,79,67,#226 OT,"6'5""",319,23,6/20/97,0,2020,3,72,Houston,J.Jones,Arizona Cardinals,2019
OT,Jake Benzinger,,67,#226 OT,"6'8""",295,23,1/29/97,0,2020,,,Wake Forest,J.Benzinger,Arizona Cardinals,2019
OT,Jackson Dennis,,67,#226 OT,"6'5""",310,,,0,2020,,,,J.Dennis,Arizona Cardinals,2019
NT,Jordan Phillips,97,74,#20 NT,"6'5""",329,27,9/20/92,6,2015,2,52,Oklahoma,J.Phillips,Arizona Cardinals,2019
DT,Corey Peters,98,76,#46 DT,"6'3""",300,32,6/7/88,11,2010,3,83,Kentucky,C.Peters,Arizona Cardinals,2019
DT,Michael Dogbe,91,76,#46 DT,"6'3""",286,24,5/4/96,2,2019,7,249,Temple,M.Dogbe,Arizona Cardinals,2019
DT,Miles Brown,72,73,#95 DT,"6'1""",322,22,9/3/97,2,2019,,,Wofford,M.Brown,Arizona Cardinals,2019
DT,Trevon Coley,93,70,#150 DT,"6'1""",307,25,7/12/94,4,2016,,,Florida Atlantic,T.Coley,Arizona Cardinals,2019
DT,Adam Shuler,,67,#233 DT,"6'4""",275,,,0,2020,,,,A.Shuler,Arizona Cardinals,2019
DT,Leki Fotu,95,67,#233 DT,"6'5""",330,21,8/22/98,0,2020,4,114,Utah,L.Fotu,Arizona Cardinals,2019
DT,Rashard Lawrence II,92,67,#233 DT,"6'2""",308,21,9/26/98,0,2020,4,131,LSU,R.Lawrence,Arizona Cardinals,2019
DE,Chandler Jones,55,92,#5 DE,"6'5""",265,30,2/26/90,9,2012,1,21,Syracuse,C.Jones,Arizona Cardinals,2019
DE,Zach Allen,97,74,#98 DE,"6'4""",281,22,8/19/97,2,2019,3,65,Boston College,Z.Allen,Arizona Cardinals,2019
DE,Reggie Walker,,67,#271 DE,"6'2""",250,24,4/21/96,0,2020,,,Kansas State,R.Walker,Arizona Cardinals,2019
DE,Kylie Fitts,49,67,#271 DE,"6'4""",263,25,10/10/94,2,2018,6,181,Utah,K.Fitts,Arizona Cardinals,2019
DE,Jonathan Bullard,90,67,#271 DE,"6'3""",285,26,10/21/93,5,2016,3,72,Florida,J.Bullard,Arizona Cardinals,2019
LB,Haason Reddick,43,78,#72 LB,"6'1""",237,25,9/21/94,4,2017,1,13,Temple,H.Reddick,Arizona Cardinals,2019
LB,Devon Kennard,42,78,#72 LB,"6'3""",249,28,6/23/91,7,2014,5,174,USC,D.Kennard,Arizona Cardinals,2019
LB,Jordan Hicks,58,77,#86 LB,"6'1""",238,28,10/13/91,6,2015,3,84,Texas,J.Hicks,Arizona Cardinals,2019
LB,De'Vondre Campbell,59,75,#138 LB,"6'4""",232,26,6/30/93,5,2016,4,115,Minnesota,D.Campbell,Arizona Cardinals,2019
LB,Evan Weaver,50,67,#478 LB,"6'2""",237,21,8/10/98,0,2020,6,202,California,E.Weaver,Arizona Cardinals,2019
LB,Dennis Gardeck,42,67,#478 LB,"6'0""",242,25,8/8/94,3,2018,,,Sioux Falls,D.Gardeck,Arizona Cardinals,2019
LB,Vontarrius Dora,54,67,#478 LB,"6'4""",243,27,9/6/92,1,2016,,,Louisiana Tech,V.Dora,Arizona Cardinals,2019
LB,Tanner Vallejo,51,67,#478 LB,"6'1""",225,25,12/15/94,4,2017,6,195,Boise State,T.Vallejo,Arizona Cardinals,2019
LB,Isaiah Simmons,48,67,#478 LB,"6'4""",238,21,7/25/98,0,2020,1,8,Clemson,I.Simmons,Arizona Cardinals,2019
CB,Patrick Peterson,21,89,#8 CB,"6'0""",219,29,7/10/90,10,2011,1,5,LSU,P.Peterson,Arizona Cardinals,2019
CB,Byron Murphy,33,78,#63 CB,"5'11""",190,22,1/17/98,2,2019,2,33,Washington,B.Murphy,Arizona Cardinals,2019
CB,Charles Washington,28,75,#115 CB,"5'10""",185,27,3/9/93,4,2016,,,Fresno State,C.Washington,Arizona Cardinals,2019
CB,Robert Alford,23,74,#139 CB,"5'10""",188,31,10/31/88,8,2013,2,60,Southeastern Louisiana,R.Alford,Arizona Cardinals,2019
CB,Kevin Peterson,27,69,#241 CB,"5'10""",181,26,3/21/94,4,2016,,,Oklahoma State,K.Peterson,Arizona Cardinals,2019
CB,Chris Jones,25,68,#302 CB,"6'0""",200,24,8/12/95,2,2018,,,Nebraska,C.Jones,Arizona Cardinals,2019
CB,Sojourn Shelton,36,68,#302 CB,"5'9""",174,25,12/24/94,1,2017,,,Wisconsin,S.Shelton,Arizona Cardinals,2019
CB,Jace Whittaker,,67,#386 CB,"5'10""",189,,,0,2020,,,Arizona,J.Whittaker,Arizona Cardinals,2019
CB,Zane Lewis,,67,#386 CB,6'1'',190,,,0,2020,,,Air Force,Z.Lewis,Arizona Cardinals,2019
CB,Bejour Wilson,,67,#386 CB,"5'10""",172,,,0,2020,,,Liberty,B.Wilson,Arizona Cardinals,2019
CB,Duke Thomas,20,67,#386 CB,"5'10""",177,26,5/20/94,2,2016,,,Texas,D.Thomas,Arizona Cardinals,2019
CB,Jalen Davis,30,67,#386 CB,"5'9""",181,24,2/1/96,1,2018,,,Utah State,J.Davis,Arizona Cardinals,2019
SS,Reggie Floyd,,67,#141 SS,"5'11""",213,,,0,2020,,,Virginia Tech,R.Floyd,Arizona Cardinals,2019
SS,Zeke Turner,47,67,#141 SS,"6'2""",212,24,6/8/96,3,2018,,,Washington,Z.Turner,Arizona Cardinals,2019
SS,Chris Banjo,38,67,#141 SS,"5'10""",204,30,2/25/90,7,2013,,,SMU,C.Banjo,Arizona Cardinals,2019
FS,Budda Baker,32,81,#20 FS,"5'10""",195,24,1/9/96,4,2017,2,36,Washington,B.Baker,Arizona Cardinals,2019
FS,Deionte Thompson,35,77,#38 FS,"6'1""",195,23,2/10/97,2,2019,5,139,Alabama,D.Thompson,Arizona Cardinals,2019
FS,Jalen Thompson,34,68,#115 FS,"6'0""",195,21,7/17/98,2,2019,,,Washington State,J.Thompson,Arizona Cardinals,2019
P,Andy Lee,4,73,#37 P,"6'1""",180,37,8/10/82,17,2004,6,188,Pittsburgh,A.Lee,Arizona Cardinals,2019
P,Ryan Winslow,9,67,#65 P,"6'5""",217,26,4/29/94,1,2018,,,Pittsburgh,R.Winslow,Arizona Cardinals,2019
PK,Zane Gonzalez,5,73,#38 PK,"6'0""",202,25,5/6/95,4,2017,7,224,Arizona State,Z.Gonzalez,Arizona Cardinals,2019
QB,Kyler Murray,1,74,#34 QB,"5'10""",207,22,8/6/97,1st season,2019,1,1,Oklahoma,K.Murray,Arizona Cardinals,2018
QB,Brett Hundley,7,70,#49 QB,"6'3""",226,27,6/14/93,5th season,2015,5,147,UCLA,B.Hundley,Arizona Cardinals,2018
QB,Drew Anderson,3,62,,"6'4""",223,24,10/17/95,Rookie,2019,,,Murray State,D.Anderson,Arizona Cardinals,2018
RB,David Johnson,31,93,#6 RB,"6'1""",224,28,12/15/91,5th season,2015,3,86,Northern Iowa,D.Johnson,Arizona Cardinals,2018
RB,Kenyan Drake,41,82,#42 RB,"6'1""",210,26,1/25/94,4th season,2016,3,73,Alabama,K.Drake,Arizona Cardinals,2018
RB,Alfred Morris,36,74,#73 RB,"5'10""",219,31,12/12/88,7th season,2012,6,173,Florida Atlantic,A.Morris,Arizona Cardinals,2018
RB,Chase Edmonds,29,71,#74 RB,"5'9""",205,24,4/12/96,2nd season,2018,4,134,Fordham,C.Edmonds,Arizona Cardinals,2018
RB,DJ Foster,37,64,,"5'10""",193,26,11/21/93,4th season,2016,,,Arizona State,D.Foster,Arizona Cardinals,2018
WR,Larry Fitzgerald,11,89,#26 WR,"6'3""",218,36,8/30/83,16th season,2004,1,3,Pittsburgh,L.Fitzgerald,Arizona Cardinals,2018
WR,Michael Crabtree,15,84,#48 WR,"6'1""",214,32,9/14/87,10th season,2009,1,10,Texas Tech,M.Crabtree,Arizona Cardinals,2018
WR,Andy Isabella,89,74,#100 WR,"5'9""",188,23,11/17/96,1st season,2019,2,62,Massachusetts,A.Isabella,Arizona Cardinals,2018
WR,Christian Kirk,13,73,#92 WR,"5'10""",201,23,11/17/96,2nd season,2018,2,47,Texas A&M,C.Kirk,Arizona Cardinals,2018
WR,Damiere Byrd,14,72,#134 WR,"5'9""",162,27,1/26/93,4th season,2015,,,South Carolina,D.Byrd,Arizona Cardinals,2018
WR,Keesean Johnson,19,70,#147 WR,"6'1""",201,23,10/8/96,1st season,2019,6,174,Fresno State,K.Johnson,Arizona Cardinals,2018
WR,Trent Sherfield,16,68,#170 WR,"6'0""",200,24,2/25/96,2nd season,2018,,,Vanderbilt,T.Sherfield,Arizona Cardinals,2018
WR,Pharoh Cooper,12,65,#181 WR,"5'11""",203,25,3/6/95,4th season,2016,4,117,South Carolina,P.Cooper,Arizona Cardinals,2018
TE,Charles Clay,85,84,#22 TE,"6'3""",250,31,2/13/89,9th season,2011,6,174,Tulsa,C.Clay,Arizona Cardinals,2018
TE,Maxx Williams,87,74,#33 TE,"6'4""",249,26,4/11/94,5th season,2015,2,55,Minnesota,M.Williams,Arizona Cardinals,2018
TE,Darrell Daniels,81,69,,"6'3""",235,25,11/21/94,3rd season,2017,,,Washington,D.Daniels,Arizona Cardinals,2018
TE,Dan Arnold,82,69,,"6'5""",225,25,3/14/95,3rd season,2017,,,Wis.-Platteville,D.Arnold,Arizona Cardinals,2018
C,AQ Shipley,53,74,#14 C,"6'1""",315,34,5/22/86,8th season,2009,7,226,Penn State,A.Shipley,Arizona Cardinals,2018
C,Mason Cole,52,67,#54 C,"6'4""",307,24,3/27/96,2nd season,2018,3,97,Michigan,M.Cole,Arizona Cardinals,2018
OG,Justin Pugh,67,80,#70 OG,"6'4""",307,29,8/14/90,7th season,2013,1,19,Syracuse,J.Pugh,Arizona Cardinals,2018
OG,Lamont Gaillard,65,75,#48 OG,"6'3""",305,24,2/7/96,1st season,2019,6,179,Georgia,L.Gaillard,Arizona Cardinals,2018
OG,JR Sweezy,64,72,#52 OG,"6'5""",295,31,4/7/89,8th season,2012,7,225,North Carolina State,J.Sweezy,Arizona Cardinals,2018
OG,Max Garcia,73,69,#51 OG,"6'4""",309,28,11/8/91,5th season,2015,4,133,Florida,M.Garcia,Arizona Cardinals,2018
OG,Jeremy Vujnovich,68,66,#114 OG,"6'5""",290,29,10/11/90,2nd season,2014,,,Louisiana College,J.Vujnovich,Arizona Cardinals,2018
